Ground Trouth,Dist0,Fate1,Dist1,Fate2,Dist2,Fate3,Dist3,Fate4,Dist4,Fate5,Dist5,Fate6,Dist6,Fate7,Dist7
1.0,0.0,1.0,0.8687205281133047,1.0,0.8783089056261604,1.0,0.901385331498039,1.0,0.9542919174483199,1.0,0.9579781053835004,1.0,1.2656732479222514,1.0,1.484191163725531
1.0,0.0,1.0,0.9272262947896083,1.0,0.9555264378683268,1.0,1.006291802590868,1.0,1.0624254460019076,1.0,1.0643032171048323,1.0,1.22134625908884,1.0,1.6471627114467295
0.0,0.0,0.0,1.1181997032742854,0.0,1.1253737058960138,0.0,1.2095655487225314,0.0,1.7668445400738912,1.0,1.997206115864025,0.0,2.1748418373198795,0.0,2.1895423337071347
1.0,0.0,1.0,0.8911862860472765,1.0,0.952887109645195,1.0,1.0080448770250252,1.0,1.0339239950153176,1.0,1.05507384238592,1.0,1.2656732479222514,1.0,1.4822620780202511
0.0,0.0,0.0,0.8738525298742755,0.0,0.8946913025737518,0.0,0.9893669329113323,0.0,1.0264823015803815,0.0,1.0820967715524046,1.0,1.087763401357466,1.0,1.611784946885415
0.0,0.0,0.0,0.9808024601126142,0.0,0.9943577502889539,0.0,1.047983262141256,0.0,1.1451491002824976,0.0,1.3553578746940218,0.0,1.5682061952650646,0.0,1.8011871881000059
0.0,0.0,0.0,1.0754221894981897,0.0,1.142014797408452,0.0,1.1495058066634476,0.0,1.1744086651594552,0.0,1.864737429721112,0.0,1.9660947896805234,0.0,2.157309137810711
0.0,0.0,0.0,0.8742199081828305,1.0,0.9435339816736279,0.0,1.0000321973392747,1.0,1.0115905334214972,0.0,1.0871072459278692,0.0,1.374742993189721,0.0,1.687432649482781
1.0,0.0,0.0,0.9080678370972114,0.0,0.9524611540219667,1.0,0.9532503481737717,0.0,0.9561487035251247,1.0,0.9878100843512864,1.0,1.6150274302073115,0.0,1.6691929579160798
0.0,0.0,0.0,0.833220927544587,0.0,1.077134602671311,0.0,1.1368434893484716,0.0,1.1390542411310773,1.0,1.6005361220321543,1.0,1.8265611319094681,0.0,1.8344327058241974
0.0,0.0,0.0,0.7973299143458439,0.0,0.8921179137129694,1.0,0.9543964360257237,0.0,1.083915683138159,0.0,1.1455406862026,0.0,1.1964495984018928,0.0,1.5049481785369176
1.0,0.0,0.0,0.9993910174042732,1.0,1.0756367863932994,0.0,1.092813233393649,0.0,1.1577450774396882,1.0,1.1806086991224902,1.0,1.2483280528301615,0.0,1.5775615597241044
0.0,0.0,1.0,1.1179120093572865,0.0,1.1235004387800784,1.0,1.1419996698530237,0.0,1.1565256985640724,0.0,1.1880115159706806,1.0,1.5330383895933963,0.0,1.8204935175682406
1.0,0.0,0.0,1.0286926459183305,1.0,1.056670590216486,1.0,1.0758707850462206,0.0,1.1092748768791618,1.0,1.160792357154214,1.0,1.1806086991224902,0.0,1.6005361220321543
1.0,0.0,1.0,0.9878100843512864,1.0,1.0080448770250252,1.0,1.0732083035304545,1.0,1.1047468518845693,0.0,1.1868954213469627,1.0,1.216158078791303,1.0,1.3265086507460444
1.0,0.0,1.0,0.9542919174483199,1.0,0.9841484519923863,1.0,0.9891501618638613,1.0,1.01525178648193,1.0,1.0457506336664169,1.0,1.060577859862017,1.0,1.6231462994937806
1.0,0.0,1.0,1.0380855644187883,1.0,1.1156683493544426,1.0,1.1168800660874614,0.0,1.1179120093572865,1.0,1.163618822237176,1.0,1.3475225933276513,0.0,1.6393409385269235
0.0,0.0,0.0,1.0799921821499474,0.0,1.1366850832591247,0.0,1.1495058066634476,0.0,1.1666450417885503,0.0,1.1887222166485552,0.0,1.8637276034661092,0.0,1.8756278098022543
0.0,0.0,0.0,1.1390542411310773,0.0,1.2147081026863935,0.0,1.3177828483155485,1.0,1.926136784147893,0.0,2.1106805950407246,0.0,2.243543195188925,0.0,2.2747568836001726
